NO,Customer_ID,Response,Sex,Age,Card_type,Shopping,Cashing,ETC,Card_contraction,Card_grade,Job,On_the_job,marriage,questionnaire1,questionnaire2,questionnaire3,questionnaire4,questionnaire5,expiration_date,onlineservice_avg_mon,cashing_avg_mon,food_avg_mon,speciality_avg_mon,general_avg_mon,network_avg_mon,onlineshopping_avg_mon,beauty_avg_mon,amusement_avg_mon,travel_avg_mon,onlineservice_avg_lmon,cashing_avg_lmon,food_avg_lmon,speciality_avg_lmon,general_avg_lmon,network_avg_lmon,onlineshopping_avg_lmon,beauty_avg_lmon,amusement_avg_lmon,travel_avg_lmon,shopping_avg,cashing_avg,ETC_avg,shopping_rec,cashing_rec,ETC_rec,No_records,max_used_date,min_used_date,No_function,No_member_store_use,No_category_use,max_charge,min_charge,avg_charge,charge_avg_per_mon,charge_lmon,charge_Monday,charge_Tuesday,charge_Wednesday,charge_Friday,charge_Thursday,charge_Saturday,charge_Sunday,generation,contraction_year,contraction_mon,contraction_day,contraction_day_JP
11,80001237,no reply,M,49,affiliated card A,0,0,0,2003/02/16,loyal card,general payer1,working,unmarried,0,0,0,0,0,2019/02/16,,,54480,40776,9103,10030,,,,39700,,,54480,16080,6200,10030,,,,39700,30592.9,,39700,6200,,39700,9,2012/11/01,2010/09/01,2,9,5,76230,5430,28205,31731,6200,61210,130710,30020,,16230,,15680,40s,2003,2,1,Sunday
12,80001306,no reply,F,52,affiliated card A,1,1,1,2003/03/10,silver card,,not working,married,0,0,0,0,0,2019/03/16,,23996,69830,37420,22475,,25590,,,,,77460,69830,72440,30900,,25590,,,,53802.5,23996.7,,72440,77460,,12,2012/08/01,2010/05/01,2,6,5,77460,2400,29932,35919,77460,5110,,229210,30900,72440,4820,16710,50s,2003,3,2,Monday
13,80001365,no reply,F,36,affiliated card B,1,0,1,2003/01/13,gold card(superior),,not working,married,0,0,0,0,0,2019/01/16,,10510,,27555,,,,,,,,10510,,34290,,,,,,,27555,10510,,34290,10510,,3,2012/01/01,2010/10/01,2,3,2,34290,10510,21873,21873,10510,,,,20820,34290,,10510,30s,2003,1,2,Monday
14,80001401,reply,M,39,affiliated card B,1,1,1,2003/01/15,silver card (classic),general payer1,working,married,0,0,0,0,0,2019/01/16,7670,5280,,75806,8780,,,,,19306,7670,5280,,19990,8780,,,,,12020,59050,5280,19306.7,19990,5280,12020,11,2012/11/01,2010/03/01,4,9,5,83340,5280,27915,34118,19990,81310,,179950,,33790,,12020,30s,2003,1,4,Wednesday
15,80001501,no reply,M,39,affiliated card A,1,1,0,2003/03/17,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,,21555,,,,,,,40100,18565,,26060,,,,,,,40100,34890,40100,21555,18565,40100,26060,34890,5,2012/06/01,2010/09/01,3,3,3,40100,2240,24068,30085,34890,,17050,2240,101050,,,,30s,2003,3,2,Monday
16,80001522,reply,M,38,original,1,0,0,2003/03/20,platinum loyal card,other,working,unmarried,4,1,1,4,4,2019/03/16,,18550,,,,,,,,94270,,32540,,,,,,,,94270,,18550,94270,,32540,94270,3,2012/09/01,2010/07/01,2,2,2,94270,4560,43790,43790,32540,,,,,98830,32540,,30s,2003,3,5,Thursday
17,80001657,no reply,M,43,affiliated card A,1,0,0,2003/02/20,silver card,,not working,unmarried,0,0,0,0,0,2019/02/16,45540,50286,21460,33426,,,,,,63253,45540,31650,21460,54690,,,,,,4490,33447.1,50286.7,63253.3,54690,31650,4490,13,2012/11/01,2010/07/01,3,9,5,121200,4490,44211,47895,54690,77540,79490,51480,121790,239960,,4490,40s,2003,2,5,Thursday
18,80001920,no reply,M,22,affiliated card A,0,0,0,2003/01/27,loyal(platinum)card,student,not working,unmarried,0,0,0,0,0,2019/01/16,,,,2660,,,,,,,,,,2660,,,,,,,2660,,,2660,,,1,2011/01/01,2011/01/01,1,1,1,2660,2660,2660,2660,2660,,,,,,2660,,20s,2003,1,2,Monday
19,80001996,no reply,F,34,original,1,1,0,2003/01/30,silver card (classic),general payer1,working,unmarried,0,0,0,0,0,2019/01/16,27473,18015,5870,5690,,,,,,,17200,18280,5870,5690,,,,,,,18796,18015,,17200,18280,,7,2012/05/01,2010/03/01,2,5,4,38370,5690,18572,18572,18280,44060,18280,44600,,17200,,5870,30s,2003,1,5,Thursday
20,80002041,no reply,M,60,affiliated card A,0,0,0,2003/01/01,gold card(superior),lawyer,working,unmarried,0,0,0,0,0,2019/12/15,19400,32910,70320,,57230,,,,,60033,19400,32910,70320,,57230,,,,,58980,48983.3,32910,60033.3,57230,32910,58980,7,2012/11/01,2010/04/01,3,5,5,72230,19400,51422,51422,57230,,58980,,72230,146950,,81800,60s,2003,1,4,Wednesday
21,80002133,reply,F,33,affiliated card A,1,1,0,2003/03/03,silver card,,not working,married,0,0,0,0,0,2019/03/16,,12772,,25655,32330,,30350,41700,,9920,,26920,,44070,32330,,30350,41700,,9920,38922.5,12772.5,9920,44070,26920,9920,10,2012/03/01,2010/05/01,3,7,6,44070,2190,21670,24077,26920,32330,63510,32540,,34330,9920,44070,30s,2003,3,2,Monday
22,80002217,no reply,F,26,original,0,0,0,2003/02/24,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/02/16,,46860,4780,31205,,95230,,,,20283,,3120,4780,74270,,95230,,,,11780,33027.8,46860,22338,10010,3120,11780,17,2012/10/01,2010/04/01,3,10,5,104920,2420,32324,36634,11780,100160,100770,13010,32540,285450,,17590,20s,2003,2,2,Monday
23,80002373,no reply,M,34,original,1,1,0,2003/02/26,silver card,general payer1,working,married,0,0,0,0,0,2019/02/16,,7135,28650,17770,,,,,,,,10800,28650,33000,,,,,,,21396.7,7135,,28650,10800,,5,2012/03/01,2010/08/01,2,3,3,33000,2540,15692,15692,28650,,43800,,3470,28650,,2540,30s,2003,2,4,Wednesday
24,80002411,no reply,F,34,affiliated card A,0,0,1,2003/01/23,gold card(superior),part time job,working,married,0,0,0,0,0,2019/01/16,,32310,,5040,,,15440,,,16150,,32310,,5040,,,15440,,,26030,10240,32310,16150,15440,32310,26030,6,2012/10/01,2010/10/01,3,4,4,32310,5040,16873,16873,26030,26030,,21270,16590,,5040,32310,30s,2003,1,5,Thursday
25,80002456,no reply,M,42,affiliated card B,1,0,0,2003/03/20,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,,19030,26463,35706,235160,,,,,72435,,17580,21300,9680,235160,,,,,51770,60238.6,19030,72435,9680,17580,51770,13,2012/10/01,2010/03/01,3,8,5,211400,9680,47971,56693,17580,97050,118720,,76060,73070,13890,244840,40s,2003,3,5,Thursday
26,80002477,no reply,F,31,affiliated card B,0,0,1,2003/03/28,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,,79750,,,,,,,,42553,,69930,,,,,,,,90700,90700,79750,18480,90700,69930,16430,5,2012/10/01,2010/05/01,3,3,2,90700,16430,57432,57432,69930,69930,89570,,,,36960,90700,30s,2003,3,6,Friday
27,80002517,reply,M,41,affiliated card B,1,1,1,2003/02/08,loyal card,general payer1,working,married,4,4,5,4,4,2019/02/16,21595,22460,5800,35660,,,,,,13320,23710,21580,5800,35660,,,,,,13320,21162.5,22460,13320,23710,21580,13320,7,2012/10/01,2010/06/01,3,5,5,35660,5800,20412,20412,23710,23710,27380,,42820,35660,13320,,40s,2003,2,7,Saturday
28,80002539,no reply,F,43,original,1,1,0,2003/04/05,silver card,,not working,unmarried,0,0,0,0,0,2019/04/16,,45920,131815,107900,25020,,,,,61196,,113980,99270,107900,25020,,,,,136240,69021.4,45920,96990,107900,113980,96990,13,2012/09/01,2010/05/01,3,7,5,164360,3520,62287,73612,113980,,144970,174300,325620,36810,128040,,40s,2003,4,7,Saturday
29,80002622,no reply,M,37,affiliated card B,1,1,1,2003/03/22,gold card,part time job,working,unmarried,0,0,0,0,0,2019/03/16,,9070,,,,,,,,4840,,9070,,,,,,,,4840,,9070,4840,,9070,4840,2,2012/06/01,2012/01/01,2,2,2,9070,4840,6955,6955,9070,,,,9070,,,4840,30s,2003,3,7,Saturday
30,80002659,no reply,F,38,affiliated card B,0,0,0,2003/01/01,silver card (classic),part time job,working,married,0,0,0,0,0,2019/12/15,,,,20480,,,,,,5555,,,,20480,,,,,,7320,13900,,3790,7320,,3790,3,2012/05/01,2010/03/01,2,3,2,20480,3790,10530,10530,7320,20480,7320,,,3790,,,30s,2003,1,4,Wednesday
31,80002858,no reply,F,33,affiliated card A,1,1,0,2003/04/01,platinum card,general payer1,working,married,0,0,0,0,0,2019/03/16,,12650,,41830,,,,,,19820,,7650,,59560,,,,,,19820,41830,12650,19820,59560,7650,19820,5,2012/11/01,2010/05/01,3,4,3,59560,7650,25756,25756,19820,59560,,31750,,19820,17650,,30s,2003,4,3,Tuesday
32,80002926,reply,F,32,original,1,1,0,2003/03/07,silver card,,not working,married,0,0,0,0,0,2019/03/16,,19860,,10453,42115,,80980,,,33030,,19860,,18430,15190,,80980,,,33030,45920,19860,,33620,19860,,8,2012/10/01,2010/09/01,2,7,5,80980,6310,31182,41576,33620,33620,,128550,,87290,,,30s,2003,3,6,Friday
33,80002993,no reply,F,21,original,1,1,0,2003/03/21,gold card,,not working,married,0,0,0,0,0,2019/03/16,,7253,,7310,,,,,,,,17240,,6180,,,,,,,7310,7253.33,,6180,17240,,5,2012/05/01,2011/03/01,2,3,2,17240,2180,7276,9095,23420,,25600,,2340,,,8440,20s,2003,3,6,Friday
34,80003018,no reply,F,25,affiliated card C,1,0,0,2003/01/16,loyal(platinum)card,part time job,working,married,0,0,0,0,0,2019/01/16,,,,5700,8820,8900,,,,,,,,5700,11100,8900,,,,,10746.7,,,11100,,,4,2011/07/01,2010/11/01,1,4,3,11100,5700,8060,10746,11100,5700,,,11100,,,15440,20s,2003,1,5,Thursday
35,80003123,no reply,M,27,original,1,1,1,2003/01/08,gold card(superior),part time job,working,unmarried,0,0,0,0,0,2019/01/16,,14340,,19475,4740,,,,,5330,,14340,,6610,4740,,,,,5330,14563.3,14340,5330,6610,14340,5330,5,2012/11/01,2010/10/01,3,5,4,32340,4740,12672,12672,6610,4740,,,37670,6610,14340,,20s,2003,1,4,Wednesday
36,80003144,no reply,F,16,affiliated card A,1,1,1,2003/03/05,silver card,student,not working,unmarried,0,0,0,0,0,2019/03/16,,4070,,3730,,,,,,,,4070,,3730,,,,,,,3730,4070,,3730,4070,,2,2011/08/01,2011/06/01,2,2,2,4070,3730,3900,3900,4070,4070,,3730,,,,,10s,2003,3,4,Wednesday
37,80003182,reply,F,26,affiliated card B,0,0,0,2003/01/10,loyal(platinum)card,,not working,married,3,4,4,1,1,2019/01/16,16590,57910,54130,7260,,,,,,24460,8530,57910,54130,7260,,,,,,46500,22868.6,57910,,8530,57910,,8,2012/02/01,2010/05/01,2,6,5,57910,2420,27248,31141,8530,,,27750,22020,53760,114460,,20s,2003,1,6,Friday
38,80003204,reply,M,30,original,1,0,0,2003/04/08,platinum card,general payer1,working,unmarried,1,1,4,4,5,2019/04/16,,21235,,65360,,8420,,,,37180,,20830,,65360,,8420,,,,37180,36890,21235,37180,8420,20830,37180,5,2012/08/01,2010/05/01,3,4,4,65360,8420,30686,38357,45600,,,45600,65360,,21640,20830,30s,2003,4,3,Tuesday
39,80003246,no reply,M,30,affiliated card C,1,1,0,2003/01/11,silver card (classic),general payer1,working,married,0,0,0,0,0,2019/01/16,,25150,,,,,36960,,18870,,,25150,,,,,36960,,18870,,27915,25150,,36960,25150,,3,2012/10/01,2010/07/01,2,3,3,36960,18870,26993,26993,36960,36960,18870,,,25150,,,30s,2003,1,7,Saturday
40,80003365,no reply,F,43,affiliated card A,1,1,0,2003/03/05,silver card,,not working,unmarried,0,0,0,0,0,2019/03/16,,9530,,13250,,,,,,6095,,3940,,6020,,,,,,2540,13250,9530,6095,6020,3940,2540,6,2012/09/01,2010/08/01,3,4,3,20480,2540,9625,9625,3940,,9650,,8560,15120,3940,20480,40s,2003,3,4,Wednesday
41,80003406,no reply,F,34,affiliated card C,0,1,0,2003/01/02,gold card(superior),,not working,married,0,0,0,0,0,2019/01/16,,12980,,12870,,,14370,,12950,33030,,3260,,19360,,,14370,,12950,29840,16482.5,12980,33030,19360,3260,29840,10,2012/10/01,2010/05/01,3,7,5,36220,2140,17093,18992,3260,3260,,42790,16510,57290,36470,14610,30s,2003,1,5,Thursday
42,80003445,no reply,F,35,affiliated card B,1,0,1,2003/01/29,loyal(platinum)card,general payer1,working,married,0,0,0,0,0,2019/01/16,,,,23670,12160,,,,,,,,,16060,12160,,,,,,19833.3,,,12160,,,3,2012/02/01,2011/11/01,1,3,2,31280,12160,19833,19833,12160,,31280,12160,,,,16060,30s,2003,1,4,Wednesday
43,80003484,no reply,F,38,affiliated card C,0,1,0,2003/01/02,silver card (classic),part time job,working,unmarried,0,0,0,0,0,2019/01/16,,15790,,,3150,,,,,13610,,15790,,,3150,,,,,13610,3150,15790,13610,3150,15790,13610,3,2012/01/01,2010/12/01,3,3,3,15790,3150,10850,10850,3150,,,15790,13610,,,3150,30s,2003,1,5,Thursday
44,80003643,no reply,F,35,original,1,0,1,2003/01/09,silver card (classic),,not working,married,0,0,0,0,0,2019/01/16,,9773,,,8800,,,,,48720,,12780,,,8800,,,,,48720,8800,9773.33,48720,8800,12780,48720,5,2012/03/01,2010/02/01,3,3,3,48720,8100,17368,17368,48720,8440,,12780,,57520,8100,,30s,2003,1,5,Thursday
45,80003773,no reply,F,23,affiliated card B,1,1,0,2003/01/12,gold card(superior),,not working,married,0,0,0,0,0,2019/01/16,21250,,,,,,,4690,,4310,21250,,,,,,,4690,,4310,10083.3,,,4310,,,3,2011/12/01,2010/11/01,1,3,3,21250,4310,10083,10083,4310,4690,,,21250,4310,,,20s,2003,1,1,Sunday
46,80003847,no reply,F,16,affiliated card A,1,1,1,2003/01/13,silver card (classic),student,not working,unmarried,0,0,0,0,0,2019/01/16,4710,2310,,3960,,,,,,,4710,2310,,2170,,,,,,,4210,2310,,2170,2310,,4,2012/11/01,2010/01/01,2,4,3,5750,2170,3735,3735,2170,,,,2310,2170,5750,4710,10s,2003,1,2,Monday
47,80004087,no reply,F,27,affiliated card B,1,0,1,2003/01/13,loyal(platinum)card,general payer1,working,unmarried,0,0,0,0,0,2019/01/16,,6180,3400,15950,,,,,,,,6180,3400,15950,,,,,,,9675,6180,,3400,6180,,3,2010/11/01,2010/05/01,2,3,3,15950,3400,8510,8510,3400,3400,15950,,,,6180,,20s,2003,1,2,Monday
48,80004126,no reply,F,29,original,0,0,0,2003/03/10,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/03/16,,,,26175,,122870,,,,30690,,,,27830,,122870,,,,30690,51477.5,,,27830,,,5,2011/08/01,2010/06/01,1,5,3,122870,2230,41182,51477,27830,52350,122870,,,,,30690,20s,2003,3,2,Monday
49,80004169,reply,F,33,affiliated card C,1,1,0,2003/01/04,gold card(superior),,not working,married,0,0,0,0,0,2019/01/16,20090,23344,,38320,3770,,,,,11000,13420,28250,,20840,3770,,,,,11000,23446.7,23344,11000,20840,28250,11000,12,2012/10/01,2010/02/01,3,7,5,55800,3770,22366,24400,28250,56090,19950,104880,31840,,21660,33980,30s,2003,1,7,Saturday
50,80004325,reply,M,40,original,1,0,0,2003/03/06,platinum loyal card,part time job,working,married,5,1,5,5,1,2019/03/16,,,,5816,,,,,,,,,,2350,,,,,,,5816.67,,,2350,,,3,2011/06/01,2010/06/01,1,2,1,10100,2350,5816,5816,2350,,10100,7350,,,,,40s,2003,3,5,Thursday
51,80004575,no reply,F,31,original,0,0,1,2003/02/27,silver card,,not working,married,0,0,0,0,0,2019/02/16,,11975,,8290,,,,,,35680,,5390,,8290,,,,,,54880,8290,11975,35680,8290,5390,54880,6,2012/07/01,2011/07/01,3,3,3,54880,5390,23213,23213,54880,,,,50120,5390,8290,75480,30s,2003,2,5,Thursday
52,80004642,no reply,M,22,affiliated card A,1,0,0,2003/01/07,gold card(superior),part time job,working,unmarried,0,0,0,0,0,2019/01/16,2040,9865,,,4110,,,,,,2040,7570,,,4790,,,,,,3420,9865,,4790,7570,,5,2012/10/01,2010/02/01,2,4,3,12160,2040,5998,5998,7570,11000,4790,2040,,12160,,,20s,2003,1,3,Tuesday
53,80004799,reply,F,34,original,0,1,0,2003/03/01,platinum loyal card,general payer1,working,unmarried,1,3,4,5,1,2019/02/16,,34040,,34860,,,,,,34440,,41830,,28190,,,,,,34440,34860,34040,34440,28190,41830,34440,7,2012/10/01,2010/05/01,3,4,3,41830,11050,29468,34380,41830,41830,30920,62630,,,41530,29370,30s,2003,3,7,Saturday
54,80004836,no reply,F,49,affiliated card B,0,1,0,2003/01/31,silver card (classic),,not working,married,0,0,0,0,0,2019/01/16,,10348,,8795,,,,,,3260,,7670,,9240,,,,,,3260,6950,10348,,9240,7670,,8,2012/05/01,2010/06/01,2,4,3,18390,3260,9073,12098,16910,,28430,30900,3260,10000,,,40s,2003,1,6,Friday
55,80004921,no reply,M,36,original,0,0,0,2003/02/21,silver card,,not working,unmarried,0,0,0,0,0,2019/02/16,,15730,,61310,,,,,,,,15730,,61390,,,,,,,61310,15730,,61390,15730,,3,2012/10/01,2010/05/01,2,3,2,61390,15730,46116,46116,15730,15730,61390,,,,61230,,30s,2003,2,6,Friday
56,80004940,no reply,M,42,original,1,0,1,2003/03/27,silver card,,not working,unmarried,0,0,0,0,0,2019/03/16,,,,,,,,,,13045,,,,,,,,,,22360,,7780,13045,,7780,22360,3,2012/01/01,2010/08/01,2,2,1,22360,3730,11290,11290,7780,,,22360,,,,11510,40s,2003,3,5,Thursday
57,80005088,no reply,M,15,affiliated card C,1,0,0,2003/01/05,silver card (classic),student,not working,unmarried,0,0,0,0,0,2019/01/16,,,,,5200,,,,,,,,,,4030,,,,,,5200,,,4030,,,3,2011/08/01,2010/10/01,1,3,1,6800,4030,5200,5200,4030,4030,,,6800,,,4770,10s,2003,1,1,Sunday
58,80005291,no reply,M,32,affiliated card C,1,0,0,2003/02/03,gold card,lawyer,working,married,0,0,0,0,0,2019/02/16,23300,22920,,17456,,,,,,11750,23300,3570,,21970,,,,,,11750,22116,22920,11750,21970,3570,11750,12,20NA,2010/03/01,3,7,4,70400,2890,19744,23693,21970,11750,2890,4540,82600,,82570,30610,30s,2003,2,2,Monday
59,80005465,no reply,F,25,original,1,1,1,2003/03/10,gold card,,not working,married,0,0,0,0,0,2019/03/16,,5500,,,,,,,,,,5500,,,,,,,,,,5500,,,5500,,1,2012/10/01,2012/10/01,1,1,1,5500,5500,5500,5500,5500,5500,,,,,,,20s,2003,3,2,Monday
60,80005661,no reply,F,63,original,1,1,0,2003/01/07,gold card(superior),general payer1,working,unmarried,0,0,0,0,0,2019/01/16,,,,3220,42370,,,,,,,,,3220,42370,,,,,,22795,,,3220,,,2,2011/07/01,2010/12/01,1,2,2,42370,3220,22795,22795,3220,,,42370,3220,,,,60s,2003,1,3,Tuesday
61,80005692,no reply,F,46,affiliated card A,1,0,0,2003/01/26,gold card(superior),,not working,married,0,0,0,0,0,2019/01/16,50985,,,10176,,,,,,63390,2330,,,10210,,,,,,63390,26500,,63390,10210,,63390,6,2012/10/01,2010/08/01,2,5,3,99640,2330,32648,32648,10210,10210,73050,12990,,,,99640,40s,2003,1,1,Sunday
62,80005743,no reply,F,34,affiliated card C,1,0,0,2003/01/03,gold card(superior),part time job,working,married,0,0,0,0,0,2019/01/16,,7070,,,,,,,,,,7070,,,,,,,,,,7070,,,7070,,1,2010/08/01,2010/08/01,1,1,1,7070,7070,7070,7070,7070,,,,,,,7070,30s,2003,1,6,Friday
63,80005760,no reply,F,45,affiliated card A,0,0,0,2003/03/31,silver card,,not working,married,0,0,0,0,0,2019/03/16,,22135,,38860,52980,,,,,39370,,22590,,38860,52980,,,,,39370,45920,22135,39370,52980,22590,39370,6,2012/10/01,2010/08/01,3,4,4,52980,5650,29246,35096,22590,22590,38860,52980,,,,61050,40s,2003,3,2,Monday
64,80005881,no reply,M,39,original,1,1,0,2003/01/04,silver card (classic),lawyer,working,married,0,0,0,0,0,2019/01/16,8540,33060,17070,25445,19940,,12250,,,48935,8540,36030,17070,6400,19940,,12250,,,82620,27330,33060,37706.7,82620,36030,48800,12,2012/06/01,2010/02/01,3,9,7,82620,6400,30879,37055,36030,53030,64320,,42430,111080,,99690,30s,2003,1,7,Saturday
65,80005942,no reply,M,33,affiliated card A,1,1,1,2003/02/12,silver card,,not working,unmarried,0,0,0,0,0,2019/02/16,,4100,,11710,16240,,7130,,,,,4100,,11710,16240,,7130,,,,11693.3,4100,,16240,4100,,4,2012/10/01,2011/03/01,2,4,4,16240,4100,9795,9795,16240,16240,4100,,7130,11710,,,30s,2003,2,4,Wednesday
66,80005990,no reply,F,46,affiliated card C,1,1,0,2003/02/20,silver card,,not working,married,0,0,0,0,0,2019/02/16,19230,26671,,31822,,,,,54655,,19230,61950,,29490,,,,,62100,,36547.1,26671.7,,19230,61950,,15,2012/03/01,2010/03/01,2,8,4,62100,2210,27724,31989,19230,80280,33610,12210,61950,115560,101480,10770,40s,2003,2,5,Thursday
67,80006067,no reply,F,39,affiliated card A,0,0,0,2003/03/26,gold card,part time job,working,unmarried,0,0,0,0,0,2019/03/16,6185,,,,8430,12150,,,,,7050,,,,8430,12150,,,,,8237.5,,,8430,,,4,2012/09/01,2010/10/01,1,4,3,12150,5320,8237,8237,8430,,,7050,5320,,8430,12150,30s,2003,3,4,Wednesday
68,80006126,no reply,F,49,original,0,1,0,2003/01/14,loyal(platinum)card,doctor,working,married,0,0,0,0,0,2019/01/16,,31631,,21790,29520,,,,,,,53340,,21790,34640,,,,,,26943.3,31631.7,,21790,53340,,10,2012/09/01,2010/02/01,2,4,3,53340,12210,27062,30068,53340,40960,43200,86930,,46190,53340,,40s,2003,1,3,Tuesday
69,80006201,no reply,M,51,affiliated card A,1,0,0,2003/01/02,gold card(superior),general payer1,working,unmarried,0,0,0,0,0,2019/01/16,,14785,12710,54835,52920,,,,,7715,,8390,12710,60540,52920,,,,,11460,43825,14785,7715,52920,8390,11460,11,2012/11/01,2010/01/01,3,7,5,52920,3970,22715,27763,11460,12710,37960,8390,106020,84790,,,50s,2003,1,5,Thursday
70,80006264,reply,M,35,affiliated card B,1,0,0,2003/02/21,silver card,general payer1,working,unmarried,0,0,0,0,0,2019/02/16,,45185,,,54255,,,,19830,,,74350,,,38680,,,,19830,,42780,45185,,38680,74350,,5,2012/03/01,2010/05/01,2,4,3,74350,16020,43742,43742,38680,,,74350,69830,58510,16020,,30s,2003,2,6,Friday
71,80006290,no reply,F,17,original,1,1,0,2003/03/26,silver card,student,not working,unmarried,0,0,0,0,0,2019/03/16,,4495,,4600,5190,,,,,,,5690,,4600,5190,,,,,,4895,4495,,5190,5690,,4,2012/11/01,2011/04/01,2,3,3,5690,3300,4695,4695,5190,,,,7900,5190,,5690,10s,2003,3,4,Wednesday
72,80006352,reply,F,45,original,0,0,0,2003/02/16,silver card,sole proprietorship,working,unmarried,0,0,0,0,0,2019/02/16,40300,39555,76900,89110,6370,,,71926,10910,4790,40300,32430,122590,180950,2230,,,46660,10910,7250,77873.3,39555,4790,227610,32430,7250,18,2012/11/01,2010/06/01,3,12,8,180950,2230,48258,66820,32430,361110,176860,46250,,233260,12740,38440,40s,2003,2,1,Sunday
